web-scraper-order,web-scraper-start-url,comment,user,Experience time,score,location,Triptype,score1,score2,score3,score4,score5,score6
1646392474-484,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We stayed at the Amari Ocean Pattaya in April 2015 for around two weeks during Thai new year (amazing by the way). 
When we arrived, we were greeted by the manager and were well taken care of by the staff. We have asked for a room with sea view, which we then got. 
Rooms
The room was very spacious and clean. The balcony was a bit small, but to be hones, we just used it to dry our swim clothes. We have pretty high standards when it comes to hotel rooms and cleanliness, and I must admit, I felt very comfortably at the Amari Ocean. 
Location
We on chose on purpose a hotel at the end of the street, to avoid the bar music etc. There was only once, where we heard some music from the bars, otherwise it was very nicely quiet. It very well located: 10min walk to two big shopping malls, 10min walk to a great fitness center and thaibox center (which was another criteria for us). The beach was 100 meters infront of the hotel, but to be honest, you don't go there for the beach as it is not very appealing.
Staff
Very friendly and staff. After the second day, the staff in the restaurant where you get breakfast was remembering us, and always already prepared the drinks we usually ordered. This was very unexpected and highly appreciated by us.
Negative
There were a few downsides to an very great overall stay. The Amari ocean shares the pool with the Amari garden (which is quite a bit cheaper). This attracts more group travellers. During our stay, we had a large group of Indian man staying at the Amari Garden and then of course occupying the pool. Which is okay, there are 3 pools (two larger, 1 smaller) but what has pissed me off was that they were very loud (yelling at each other) and smoking all the time. This is particularly annoying when you would like to relax and and sleep a bit in the sun.  
What we didn't like about  the hotel were the Cocktail prices and quality. Having been in Koh Samui before, were things are generally more expensive than in Pattaya, we must admit we had some fruit cocktails which cost double of what we paid in Samui and were only half the size. after a while, we simply went to the bar/restaurant at the street which leads to the Amari. They have very nice drinks, reasonably priced and good size.
All in all,  we would stay again at this hotel.",Fruit_Monster,??.?.-15,5,"Basel, Switzerland",Couple,4-Value,5-Service,4-Sleep Quality,null,null,null
1646392474-354,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,From the moment we arrived until we left we cannot thank all the staff from management and front desk staff & restaurant with a excellent choice of food there is a hotel extension going on but had minimal inconvenience we would like to thank Layla in reception who spoke excellent English for all local information she gave us.Thanks again Amari we had a wonderful stay PS the breakfast is not to be missed,Phillip M,?.?.-18,5,,Couple,5-Rooms,5-Location,5-Service,null,null,null
1646392474-327,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Location 5 star
Hospitality  4 star
Pool  5 star
Kids activities  5 star
Breakfast buffet ( vegetarian) 4 star 
For non vegetarian it is best in pattaya.
Special mention MISS SAI at amari hotel reception is very polite, and best. 
One of the best hotel in pattaya to stay. 
Overall simply amazing property.",hitesh197919842010,?.?.-19,5,"Jaipur, India",Family,null,null,null,null,null,null
1646392474-412,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"very nice room with great view.,warm-hearted personals, hotel's location is very good,my guests came up easily , that was my first visit of Thailand your beautiful country with very polite people, staying in your hotel were a good event for me and starting every day during my trip with your nice breakfast saloon with delicious local foods were a nice experience for me. Thank you very much.",nmahami,?.?.-17,5,,Friends,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-537,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"When I go to Pattaya, generally on business, my hotel of choice is the Amari Ocean Tower. I have stayed at this hotel on and off for 5 years and under David Cumming mangement my stays were always excellent. Now there is a new general manager Mr. Brenden Daily the same high standards have been maintained.
I have been fortunate that I always have a nice room.
Maybe not the best location as its a taxi ride to the main shopping areas but well worth the minor inconvenience.",fossie52,?.?.-14,5,"Bangkok, Thailand",Business,5-Rooms,5-Service,5-Sleep Quality,null,null,null
1646392474-314,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"The staff are smiling, serve good service. I fell them kindly welcome the guests.
In room, they have a ""sweet dream"" sign and cookies everyday.
The breakfast in Amaya has a variety of food and look clean.",sarinratsangwisa2018,?.?.-19,5,,Business,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-538,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Travelled with family. Stayed in the ocean tower which is the newest property co-existing with its older garden property. The two make it a huge property. Has two big pools. Huge/spacious rooms with small pvt balcony. Being vegetarians the hotel restaurant took care of it. Lot of water sport activities on the beach which across the road. Has lot of night joints with variety of music and food. Good unwinding place. Would recommend this property as away from walking street which becomes awkward sometimes.,Rashesh,?.?.-14,5,Mumbai,Family,null,null,null,null,null,null
1646392474-306,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Very ideally located... good, nice and clean place to stay.....
Staff had been very generous and courteous.... Special mention of Mr. Knotty at the Reception and Mr. Banks at the Bell Desk. Took great care of my family and kids....
Neat and Tidy rooms.... Spacious and luxurious..... Amazing Swimming Pool with a mini water park....
Definitely worth to stay !!!",17jimits,?.?.-19,5,"Surendranagar, India",Family,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-300,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,There are some improvement to be a five star hotel. But all over i was satisfied. Location is very good. Clean room and good breakfast. Some contruction work ongoing nearby but i think they wil be soon finished. There was som challenges under my stay. But they was handled in a good matter.,Passport61559894365,?.?.-19,4,,Business,3-Value,4-Rooms,5-Location,5-Cleanliness,4-Service,4-Sleep Quality
1646392474-310,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Fabulous holiday in Pattaya. Enjoy swimming pool with slider. We stay in 2-bedroom suites which is super convenient. Enjoy breakfast so much with variety of choices. We strongly recommend this hotel to other families.,Journey94223,?.?.-19,5,"Bangkok, Thailand",Family,4-Value,5-Rooms,5-Location,5-Cleanliness,4-Service,5-Sleep Quality
1646392474-305,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Good hotel for family. Our children like KIDSCHECKIN very much. There is a good welcome. Amazing pool for kids. 
For Breakfast, there have kid zone for creating some foods. And variety of foods for all visitors.",pathitnutda,?.?.-19,5,"Bangkok, Thailand",Family,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-435,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I have been here for 3 weeks now and the the biggest issue is what direction to go for fun and food. Every way you go it fun times and great food. Dont pass up the local street venders grilling your next meal for pennies. The temperature averages mid 90 degrees f year round with lots of sun and short lived rain. You can walk for miles to all the attractions or do as the locals and ride a tut-tut. Sort of a truck/taxi that circles the beach road. You wave and they pull over and jump in. When you see your stop you push the buzzer button and pay them 10 baugh. Approximately 35 cents. They will only take you to each end of the road and you have to get off and catch another for the return. In the south you have the temples and the north end you have the infamous walking street thats famed for all sorts of bars, strip clubs, and anything else imagined. In between there are more types of restaurants, bars, spa's, and shops than you can imagine. Its a cultural blender with everyone existing in harmony. 
On a sad note, the king of 70 years just passed away and will be honored for a minimum of 1 year. 
Do not dishonor him or the family as this is a serious offense drawing a 15 year sentence. Also dont buy and try to leave with budda as this is also a very stiff offense. 
The Thai people are the most loving and pleasant people I have met and will help in any way they can. 
So back to the Amari, wonderful view, pools, staff, and accommodations. Pricing is very reasonable. Most speak English and all of the staff in check in are multi lingual. Dont pass up this gem of a experience.",Phil L,?.?.-16,5,"Mobile, Alabama",Business,null,null,null,null,null,null
1646392474-391,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,I have a very lovely stayed there. I got very nice and clean room. All of team member are very polite and kind. Warm welcome since checked in. The pool was beautiful and huge. Definitely will go back again!,rujira2017,?.?.-17,5,,Couple,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646392474-408,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Bad is construction
I suffer from noise and exhaust during swimimg in the pool
Construction is so big 
Good is quite location for sleep and family stay 
Breakfast very good! not variety but deliciuos I wish eat again",212seungaeb,?.?.-17,4,"Pattaya, Thailand",Family,4-Value,3-Rooms,4-Location,3-Cleanliness,4-Service,4-Sleep Quality
1646392474-443,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Last year i wrote a very negative review of another Amari hotel which was close by to this one and the comments  were justified 
This is a much  nicer   experience as the hotel had not taken a group booking from single Indian men so that the atmosphere of the hotel was totally different . The staff are excellent and always very  and it was a lovely touch to offer fruit to guests around the pool . Something small like that costs the hotel very little but it is these small touches that make such a difference . 
The hotel polls are fantastic and you can have a decent swim in them and just laze around the pool. The hotel cleaners did a great job making up the room every day and were always very friendly and helpful.
The only real negative for the hotel are the rooms . They are a bit tired and need updating and in some cases the wall paper is starting to peal from the wall",Jennmark90,?.?.-16,4,"Luton, United Kingdom",Friends,4-Cleanliness,4-Service,4-Sleep Quality,null,null,null
